問卷編號,"性別(男:0, 女:1)",出生年,年齡,CIAS_1,CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
2524,0,87,12,2,3,2,3,3,3,3,1,2,3,2,2,2,2,3,3,3,3,2,2,2,2,1,3,1,1
2525,0,87,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2526,0,87,12,3,1,3,1,3,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1
2527,1,86,13,3,1,3,2,2,4,4,1,2,1,2,2,2,1,2,2,2,2,2,,3,3,2,,2,1
2528,0,87,12,3,3,4,3,3,2,,,,,2,1,2,2,1,,,,,,2,3,4,4,1,1
2529,1,86,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2530,1,87,12,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2531,0,87,12,2,2,2,4,3,3,3,3,4,4,2,4,3,3,4,2,4,3,1,3,3,2,3,4,2,1
2532,0,87,12,2,4,4,1,4,4,1,1,2,3,3,3,1,1,4,4,3,1,1,1,2,1,1,2,1,1
2533,0,86,13,4,4,1,4,4,4,1,1,4,4,4,1,4,4,4,4,1,1,4,4,4,4,1,4,4,4
2534,0,87,12,3,2,3,2,3,4,3,3,2,,2,3,4,2,2,1,2,1,2,3,4,2,2,2,2,2
2535,0,87,12,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2536,1,87,12,4,1,4,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1
2537,1,87,12,2,3,1,1,1,1,4,1,1,1,2,4,1,1,1,1,4,2,1,3,1,2,1,1,1,1
2538,0,87,12,4,4,3,4,,4,2,2,4,2,2,2,2,2,3,3,3,2,2,2,2,2,4,4,2,2
2539,0,87,12,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2540,0,87,12,1,4,2,3,1,2,1,3,2,4,2,3,1,2,3,1,2,1,3,2,1,2,1,3,3,2
2541,0,88,11,1,4,1,1,1,4,4,1,1,1,1,4,1,1,4,1,1,4,1,1,4,1,1,1,1,1
2542,0,87,12,3,2,4,2,3,2,3,2,4,1,1,3,2,4,4,4,4,4,3,3,4,3,3,2,3,4
2543,0,88,11,1,3,4,4,3,4,2,1,4,2,3,1,4,3,4,2,1,4,4,2,3,4,1,1,4,1
2544,0,88,11,4,4,3,4,4,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2
2545,1,87,12,3,4,4,1,3,2,3,1,3,2,1,1,2,1,3,3,1,2,1,1,1,2,3,2,1,1
2546,0,88,11,1,2,3,1,1,2,2,2,3,1,1,2,3,2,1,1,2,1,2,1,2,2,1,3,2,2
2547,0,88,11,3,3,3,,4,3,,2,3,4,4,3,4,,3,2,4,4,4,4,,,,,,4
2548,1,88,11,1,2,2,2,3,4,3,2,2,2,2,2,4,2,1,2,,2,2,2,1,1,2,2,2,2
2549,1,88,11,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
2550,0,87,12,1,2,3,4,1,2,1,1,1,2,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1
2551,0,88,11,2,3,3,3,3,3,3,1,2,2,2,1,2,3,2,3,4,4,3,3,2,3,2,3,1,1
2552,1,88,11,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2554,0,88,11,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
2555,1,88,11,3,1,2,3,1,2,3,1,1,1,1,2,3,1,1,2,2,2,2,1,1,1,1,1,1,1
2556,0,88,11,3,1,3,2,1,4,2,1,2,1,3,1,3,3,3,1,1,,,,1,2,1,2,2,1
2557,0,88,11,1,1,4,1,4,4,4,4,4,4,4,,1,1,4,1,4,1,1,4,4,4,4,4,4,4
2558,1,86,13,3,2,3,3,2,3,2,1,2,2,2,1,3,2,3,3,1,1,2,1,3,2,1,2,3,1
2559,0,87,12,2,3,2,3,2,3,2,1,3,2,2,2,3,1,2,2,2,2,2,3,3,3,2,2,2,2
2560,1,86,13,2,2,3,3,3,2,3,2,4,3,2,3,3,1,1,2,2,2,2,2,2,2,2,3,2,2
2561,0,87,12,3,1,3,1,1,3,2,1,2,1,2,1,3,1,2,1,1,1,1,1,3,2,1,2,1,1
2562,1,87,12,3,2,2,3,1,3,1,1,1,2,3,1,1,1,1,1,2,3,2,3,1,2,2,1,1,1
2563,1,87,12,2,1,4,3,1,1,1,1,3,1,1,1,1,1,4,1,4,4,1,1,4,3,1,1,1,1
2564,0,87,12,3,3,2,2,2,2,3,1,1,3,1,2,1,3,2,3,1,1,2,2,2,2,1,1,1,1
2565,0,87,12,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2
2566,1,87,12,2,2,2,3,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,3,2,1,2,2,1
2567,0,87,12,3,1,2,3,4,3,1,1,4,2,1,3,1,2,1,4,2,1,4,2,1,4,2,3,3,1
2568,0,87,12,1,2,1,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2569,0,87,12,3,2,2,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1
2570,1,87,12,4,4,2,,1,4,1,1,4,4,1,1,1,1,1,4,4,4,4,2,3,2,2,1,2,1
2571,0,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2572,1,87,12,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
2573,0,86,13,3,2,1,2,2,2,2,2,2,1,1,1,2,3,2,2,3,3,1,2,3,3,1,1,1,2
2574,1,87,12,1,3,3,3,2,4,1,1,1,3,2,4,4,1,4,3,1,1,2,1,4,4,4,2,3,4
2575,1,87,12,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2
2576,1,86,13,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
2577,1,87,12,2,1,3,2,2,3,2,1,3,1,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2
2578,0,85,14,4,1,2,3,2,4,3,3,2,2,1,4,2,3,3,4,3,3,2,3,4,2,2,1,1,2
2579,0,87,12,2,2,2,2,2,2,3,,,,2,3,2,2,4,4,3,1,2,2,4,2,2,,1,2
2580,1,87,12,3,4,4,3,3,3,3,1,4,3,3,1,3,2,4,3,3,3,3,2,4,3,1,3,3,2
2581,0,87,12,3,3,4,2,1,4,2,1,2,1,1,2,3,1,3,3,2,3,1,1,3,4,1,1,1,1
2582,0,86,13,3,3,3,3,3,3,3,2,2,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2583,1,86,13,2,3,4,4,3,4,4,1,3,2,4,1,1,1,3,2,2,2,1,1,3,2,2,2,1,1
2584,0,87,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2585,0,87,12,3,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1
2586,1,87,12,4,4,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,1,1,1,1
2587,0,86,13,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3,2,2
2588,1,87,12,3,2,3,2,1,2,3,2,3,,2,2,3,1,3,1,2,1,3,3,4,3,1,3,1,4
2589,1,86,13,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1
2590,0,87,12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2
2591,1,86,13,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2592,1,86,13,2,2,2,2,2,3,3,1,2,2,3,2,2,1,2,3,2,3,2,1,2,3,2,2,2,1
2593,1,86,13,3,1,2,2,2,3,3,1,2,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
2594,1,86,13,4,3,4,3,1,1,3,2,3,2,1,2,4,4,4,3,1,3,4,1,4,3,1,1,1,1
2595,0,87,12,1,3,2,2,4,3,1,2,2,,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1
2596,1,87,12,2,4,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,2,,4,4,2,4,4,4,2
2597,1,87,12,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
2598,1,87,12,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
2599,0,86,13,3,2,4,2,1,4,3,1,3,1,,2,3,2,2,2,2,3,2,2,2,1,2,1,1,1
2600,0,87,12,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,3,2,1,1,2,2,1,1,2,1
2601,0,86,13,3,3,4,3,3,2,2,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2602,1,87,12,2,3,1,2,3,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
2603,0,86,13,3,1,3,1,3,3,1,2,2,1,2,2,2,3,1,2,2,2,2,1,3,2,2,2,2,2
2604,0,87,12,3,2,2,3,2,3,3,2,2,3,3,2,2,2,2,3,2,2,2,3,3,2,3,2,3,2
2605,1,87,12,3,1,2,2,3,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
2606,1,86,13,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
2607,1,87,12,2,2,2,3,4,2,2,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,2,1,3
2608,0,87,12,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,3,3,4,2,2,4,2,,,4
2609,0,87,12,2,4,3,2,4,4,2,4,4,4,1,1,2,3,1,4,3,2,1,2,3,4,3,2,1,1
2610,0,87,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2611,1,87,12,4,2,1,1,1,3,2,1,1,1,4,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1
2612,0,87,12,2,4,3,4,4,4,4,3,3,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,3,4
2613,1,86,13,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2614,0,87,12,3,1,1,1,1,4,1,1,2,1,1,1,1,1,4,4,4,1,3,1,4,3,1,1,1,1
2615,1,87,12,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
2616,0,87,12,3,4,3,,4,4,4,4,4,4,3,3,3,1,1,3,4,3,2,4,4,4,4,4,4,4
2617,1,87,12,,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
2618,0,87,12,3,1,2,1,2,1,2,1,1,1,1,1,2,1,4,2,1,2,2,1,4,,2,2,1,2
2619,1,86,13,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3
2620,1,86,13,3,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
2621,0,87,12,4,3,2,2,2,3,3,2,2,2,2,2,2,2,4,3,1,2,3,2,1,3,1,2,1,3
2622,1,86,13,3,3,3,3,3,4,2,1,3,2,3,4,2,3,4,4,3,3,4,2,3,3,3,2,1,1
2623,1,87,12,3,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
2624,1,87,12,3,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
2625,1,87,12,2,1,1,,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2626,1,86,13,3,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2627,1,87,12,4,1,1,1,1,1,4,2,1,2,2,4,1,1,4,,2,4,2,1,3,2,1,2,1,1
2628,0,87,12,,3,2,2,3,4,1,2,2,3,3,2,2,3,3,3,1,3,3,3,2,3,2,3,3,2
2629,1,86,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2630,1,86,13,3,3,2,2,2,2,3,1,2,3,2,2,2,2,2,2,2,2,2,4,2,3,2,2,3,2
2631,0,87,12,3,4,2,3,3,4,3,1,4,3,3,2,1,2,3,3,1,1,4,4,2,3,1,3,1,1
2632,0,86,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2633,0,86,13,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2
2634,1,87,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2635,0,87,12,2,2,3,3,2,3,3,1,2,1,2,1,1,1,3,3,3,2,3,1,2,3,1,3,1,1
2636,1,87,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2638,0,87,12,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2639,1,87,12,3,3,2,2,2,3,2,1,2,2,3,2,3,1,2,2,3,3,2,1,3,3,1,2,2,1
2641,0,87,12,3,3,2,2,3,4,3,3,2,2,2,3,3,3,3,3,2,2,3,2,2,2,3,2,3,4
2642,0,87,12,3,3,2,4,4,2,2,1,1,2,3,1,1,1,2,3,1,2,1,2,1,2,1,1,1,1
2643,0,87,12,3,3,2,2,3,4,2,1,3,2,3,2,3,2,2,3,3,3,2,2,2,3,1,2,2,1
2644,0,87,12,3,1,3,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,1,1,3,3,1,3,3,1
2645,1,87,12,3,1,2,1,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2
2646,1,87,12,2,1,3,2,2,3,2,1,2,1,1,1,1,1,3,3,1,1,3,1,3,1,1,1,2,1
2647,0,86,13,2,3,2,3,2,3,1,2,3,3,1,1,3,3,4,3,3,1,3,2,2,3,3,2,3,3
2648,0,86,13,3,3,3,2,1,2,3,3,4,3,1,1,3,2,3,1,1,1,3,1,1,1,1,3,2,1
2649,1,87,12,3,4,2,3,4,3,2,1,2,4,3,2,1,2,2,2,1,3,4,4,2,3,1,2,1,1
2650,0,87,12,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
2651,1,86,13,3,2,3,2,2,3,3,1,3,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1
2652,0,87,12,3,3,1,3,2,3,3,1,2,3,3,2,3,2,3,3,2,3,3,4,3,2,1,1,1,3
2653,0,87,12,3,2,4,3,2,4,4,2,4,2,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1
2655,1,86,13,4,4,3,4,3,4,1,1,1,3,3,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1
2656,1,86,13,4,4,3,3,2,4,1,1,3,3,2,1,2,1,1,3,3,1,1,3,2,2,1,1,1,1
2657,1,86,13,3,3,3,3,2,2,3,1,3,2,2,2,1,1,1,3,1,1,1,3,1,2,1,1,1,1
2658,1,86,13,1,1,4,3,3,4,2,1,4,1,1,1,2,2,3,1,2,3,1,2,1,3,1,2,1,1
2659,0,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2660,1,87,12,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,1,1,2,2
2661,0,87,12,2,3,3,3,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1
2662,0,87,12,3,4,3,3,3,4,3,2,3,3,3,2,1,4,2,3,2,2,2,1,1,3,3,2,1,1
2663,1,87,12,2,2,1,3,3,2,1,1,1,2,1,2,1,1,1,2,1,1,3,2,1,2,1,1,1,1
2664,0,87,12,3,4,3,4,3,3,3,1,,3,3,1,2,1,1,3,3,3,2,3,3,3,2,2,1,1
2665,0,86,13,3,4,4,2,3,2,3,1,3,3,2,3,1,4,2,3,1,1,1,4,2,3,2,3,3,1
2666,1,86,13,2,3,3,2,1,3,3,1,3,2,3,1,1,1,3,3,1,2,3,3,3,3,1,3,4,1
2667,0,87,12,1,4,4,3,1,4,1,1,4,4,1,1,4,3,3,4,1,3,2,4,1,4,1,4,2,1
2668,1,87,12,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1
2669,1,87,12,2,3,4,3,3,3,3,2,4,4,3,3,1,4,1,4,4,3,4,3,2,4,2,3,1,2
2670,1,86,13,1,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2671,1,87,12,3,2,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
2672,1,86,13,3,2,1,1,2,3,2,1,2,1,2,2,3,2,3,2,2,3,2,2,2,2,2,2,3,2
2673,0,87,12,3,4,3,4,4,3,1,1,1,4,4,1,4,4,1,4,1,1,1,4,1,4,1,1,1,4
2674,1,87,12,2,4,4,4,4,4,4,1,4,4,4,2,3,2,3,4,2,2,2,4,1,4,2,4,1,1
2675,0,86,13,3,2,3,3,2,3,3,1,2,1,2,3,2,2,2,1,2,4,3,1,3,2,1,3,1,1
2676,0,87,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2677,1,86,13,2,2,2,2,2,2,4,2,4,2,2,3,3,2,2,3,2,2,2,4,4,3,2,1,4,3
2678,1,86,13,4,4,2,3,2,3,2,1,2,3,2,1,3,1,2,1,2,3,2,4,3,2,1,2,1,2
2679,1,87,12,3,4,2,3,3,3,1,1,3,3,2,1,2,1,1,3,1,2,3,1,2,3,1,3,1,1
2680,1,87,12,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1
2681,0,87,12,4,1,2,2,1,3,4,1,1,2,2,2,2,1,3,3,1,1,2,4,3,2,1,2,2,4
2682,1,86,13,2,3,3,4,3,3,3,1,3,3,2,2,2,3,1,3,3,3,3,3,1,1,2,3,2,1
2683,0,87,12,1,1,1,4,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2684,0,86,13,3,3,2,3,,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2685,0,87,12,3,3,2,1,1,1,3,4,1,1,2,1,1,1,1,1,3,1,1,3,3,1,3,2,1,1
2686,0,87,12,3,1,4,4,4,4,4,3,4,1,1,3,1,1,2,1,1,1,4,4,1,3,1,4,1,1
2687,0,87,12,2,4,4,4,4,4,4,1,4,3,2,4,2,4,1,4,1,4,4,4,1,4,3,2,2,4
2688,1,86,13,2,2,3,2,2,3,3,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2
2689,1,88,11,1,2,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
2691,1,88,11,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3
2692,1,88,11,4,3,3,3,4,3,,2,3,2,3,4,4,2,3,3,2,3,1,3,2,3,2,1,2,2
2693,1,88,11,3,3,2,3,3,4,2,1,1,3,2,2,2,3,2,3,2,2,3,4,2,3,2,3,1,1
2694,0,88,11,4,3,2,3,,3,2,3,2,1,4,3,2,1,3,3,2,1,2,3,4,3,2,3,1,3
2695,1,88,11,1,4,1,1,1,3,3,1,1,2,1,1,1,1,4,3,3,3,3,2,2,2,3,2,3,2
2696,1,88,11,3,2,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1
2697,1,88,11,4,3,4,2,2,4,1,1,1,2,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,2
2698,1,88,11,3,1,1,4,1,1,1,1,1,1,1,2,4,1,1,1,1,3,1,3,3,1,1,1,1,1
2699,1,87,12,2,2,2,3,,1,1,1,2,2,1,1,3,1,2,1,3,3,1,1,3,1,1,2,1,2
2700,1,87,12,4,3,3,2,2,3,1,1,3,2,1,1,2,,1,1,1,1,1,1,3,1,1,3,1,1
2701,1,88,11,3,1,2,2,1,2,1,1,2,1,1,2,1,2,4,3,1,2,3,1,2,2,1,3,1,1
2702,1,88,11,3,1,2,2,1,2,1,1,2,1,1,2,1,2,4,3,1,2,4,1,2,2,1,3,1,1
2703,1,88,11,1,4,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,1,1,1,1
2704,1,87,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
2705,0,88,11,4,4,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2706,0,88,11,3,4,4,4,4,4,4,1,2,,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2
2707,0,88,11,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,2,2,4,4,3,2,1,4,4
2708,0,88,11,4,4,4,4,4,4,3,4,3,4,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
2709,1,87,12,4,3,3,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
2710,0,88,11,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2711,0,88,11,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3
2712,0,89,10,1,1,1,1,3,2,4,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1
2713,0,89,10,2,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
2714,0,88,11,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2715,0,88,11,1,2,3,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
2716,1,89,10,4,1,1,1,3,1,3,2,3,1,1,1,2,2,2,1,1,2,2,2,2,4,2,2,2,2
2717,1,89,10,3,2,3,2,3,3,3,1,2,2,1,2,2,1,1,2,1,1,2,,2,1,1,2,1,1
2718,1,89,10,3,1,3,1,1,1,1,3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2719,1,88,11,3,1,3,2,1,4,2,1,2,1,1,1,1,2,4,4,1,2,1,1,4,2,1,1,1,1
2720,0,89,10,3,2,2,1,2,2,4,1,1,2,1,1,2,1,2,3,1,1,2,2,3,3,1,2,1,1
2721,0,89,10,3,2,3,2,3,3,4,2,3,2,2,2,1,1,2,3,1,1,2,2,3,1,,3,1,1
2722,1,89,10,3,4,2,3,4,4,3,1,2,4,2,1,1,4,1,4,1,2,4,4,2,3,1,3,1,1
2723,1,88,11,3,3,2,1,2,3,2,1,2,2,2,3,2,1,2,1,1,3,2,3,3,2,2,2,1,1
2724,1,88,11,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2725,0,89,10,3,2,2,,2,2,3,2,1,2,2,2,3,1,3,2,2,3,2,2,3,2,1,1,2,2
2726,1,88,11,4,1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,1,1,1,2,4,1,1,1,1,1
2727,1,89,10,3,1,1,1,1,2,2,1,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2
2728,1,88,11,3,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2729,1,89,10,1,1,1,,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
2730,0,89,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2731,0,89,10,3,3,3,3,3,3,4,2,2,3,3,2,1,3,2,3,1,3,3,2,3,2,3,3,3,2
2732,1,88,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2733,1,89,10,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,3
2734,0,89,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2735,1,90,9,3,4,1,4,4,4,4,1,1,4,4,2,2,4,3,4,1,1,4,4,4,3,3,4,1,1
2736,1,89,10,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1
2737,0,89,10,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1
2738,1,89,10,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2739,0,89,10,3,1,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2740,0,89,10,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
2741,0,89,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2742,0,88,11,1,3,2,4,2,4,2,1,2,4,3,1,1,2,3,2,1,2,3,3,3,3,2,3,1,1
2743,1,88,11,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2744,1,88,11,4,3,2,2,2,3,2,1,2,2,3,1,3,1,3,1,1,2,1,1,3,2,1,1,2,1
2745,0,88,11,2,3,2,,2,4,2,2,,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1
2746,1,88,11,2,3,3,2,3,3,2,2,3,3,2,2,2,2,2,3,2,2,3,3,2,3,2,2,2,2
2747,1,88,11,3,2,2,2,2,3,2,1,3,2,2,1,2,1,3,1,1,1,1,1,3,2,1,2,1,2
2748,1,88,11,3,2,2,3,3,4,3,1,3,1,1,1,1,1,4,2,1,1,4,3,4,3,1,2,1,1
2749,1,88,11,3,3,2,3,2,3,2,1,1,3,1,1,1,1,3,4,1,4,1,1,3,4,2,2,3,1
2750,0,88,11,3,2,4,3,2,4,1,3,1,4,3,2,1,2,2,1,3,2,3,4,1,4,2,1,4,1
2751,0,89,10,2,2,3,3,2,3,3,2,2,3,3,2,3,2,3,3,3,3,3,2,3,2,2,2,2,2
2752,1,88,11,2,4,2,4,4,4,2,2,4,4,4,2,1,4,1,4,1,1,4,4,2,4,1,4,1,1
2753,1,89,10,3,2,2,3,2,2,3,2,2,2,2,2,2,1,3,2,1,,2,2,3,2,1,2,1,1
2754,1,89,10,2,1,1,2,1,1,2,1,2,1,1,1,2,1,3,1,1,2,1,1,1,1,2,1,1,1
2755,0,88,11,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2
