問卷編號,"性別(男:0, 女:1)",出生年,年齡,"CIAS_1(CIAS編碼 1: 非常不同意, 2: 不同意, 3: 同意, 4: 非常同意)",CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
2679,0,83,16,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2680,0,84,15,3,2,2,2,3,1,3,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,1,2
2682,0,83,16,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3
2683,0,84,15,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
2684,1,84,15,2,4,3,3,3,4,3,1,2,2,3,3,3,2,3,4,1,4,2,4,3,4,1,1,4,2
2685,1,83,16,3,2,3,2,2,3,2,1,3,2,3,2,3,2,4,3,2,3,3,3,3,2,2,2,2,2
2687,1,84,15,4,4,4,3,3,4,1,1,1,2,2,1,3,3,1,2,2,2,3,3,3,2,2,2,3,2
2688,1,84,15,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2690,1,84,15,3,2,3,2,2,3,2,1,3,2,2,2,2,2,3,1,3,1,3,2,2,3,2,3,1,3
2692,0,84,15,4,4,4,2,1,4,4,1,3,1,1,1,2,1,3,1,2,2,4,2,1,3,2,1,3,1
2694,1,83,16,2,1,2,3,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2
2695,1,84,15,4,3,3,4,2,1,3,2,2,3,3,2,2,2,3,3,3,2,3,3,2,3,2,3,2,2
2696,1,84,15,3,3,3,2,3,3,1,1,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,2,2,2
2697,0,83,16,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2698,0,84,15,4,2,2,3,,4,2,2,2,2,2,2,3,2,3,2,4,4,4,2,3,2,2,1,1,1
2699,1,84,15,3,2,3,3,2,3,3,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,3,3
2700,1,84,15,3,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2701,1,83,16,2,4,3,4,4,4,4,2,4,4,4,4,3,2,4,,,,,,3,4,3,4,4,2
2702,0,83,16,2,2,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,2,3,3,2,3
2703,1,84,15,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2704,0,83,16,4,3,3,3,2,3,2,1,2,1,3,2,3,2,3,3,3,3,2,2,3,2,1,2,2,4
2705,0,84,15,3,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2706,0,84,15,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2708,0,83,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3,2,3
2709,1,84,15,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2710,0,85,14,3,1,2,1,1,1,1,1,2,1,2,2,1,1,3,1,2,3,1,1,2,3,1,1,4,2
2711,0,85,14,3,4,4,4,2,2,1,4,2,3,1,1,1,3,4,4,2,1,1,3,2,1,4,3,1,1
2712,0,85,14,3,1,2,2,2,3,2,3,2,1,2,3,3,1,3,2,2,3,2,2,3,2,3,2,3,3
2713,1,85,14,3,4,2,2,2,4,2,1,1,1,3,1,1,1,1,1,1,2,4,3,1,4,1,1,1,1
2714,0,85,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2717,0,85,14,1,2,2,2,3,3,2,2,2,2,3,3,2,3,2,3,3,2,2,3,2,2,1,1,3,2
2715,0,84,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2716,1,85,14,1,1,1,1,1,2,1,1,2,1,1,2,1,1,3,1,2,2,2,1,3,1,1,1,1,1
2718,1,84,15,3,3,2,3,1,2,2,1,3,2,1,1,1,1,3,2,1,2,3,1,1,1,1,1,1,1
2719,0,84,15,2,2,2,3,2,1,2,1,2,2,2,1,1,2,1,2,4,2,2,2,1,2,2,2,2,2
2720,1,85,14,3,2,2,2,2,2,3,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1
2721,1,85,14,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
2722,1,85,14,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1
2723,0,85,14,4,3,4,3,3,4,1,3,3,3,4,2,2,2,4,4,2,4,1,1,1,4,1,4,4,1
2724,0,84,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2725,1,84,15,3,1,2,3,2,3,2,2,2,1,2,2,3,2,2,2,2,2,2,1,1,2,1,1,1,1
2726,1,85,14,2,2,2,3,2,3,2,2,2,2,2,2,3,1,2,2,3,3,2,1,3,2,2,1,1,2
2727,1,85,14,2,3,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,1,1,1,1,1,2
2728,0,84,15,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2729,0,85,14,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,3,2,2,2,2,2,2
2730,0,84,15,3,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1
2731,0,84,15,3,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2
2734,1,85,14,3,2,3,1,3,4,1,1,2,2,2,1,3,1,2,2,1,2,2,1,2,2,1,2,,1
2735,1,85,14,4,3,4,4,3,4,1,1,2,2,3,1,2,1,1,3,3,3,1,2,1,2,3,1,1,2
2736,1,85,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2737,1,86,13,4,2,2,3,1,1,1,1,1,1,2,2,3,1,1,2,2,2,1,2,1,2,1,1,1,1
2738,0,86,13,1,4,4,4,4,4,2,1,1,4,4,3,1,4,1,4,1,1,4,4,1,4,1,4,1,1
2739,1,86,13,2,3,2,2,2,3,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1
2740,0,85,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2741,0,86,13,4,4,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4
2742,0,86,13,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2
2743,1,85,14,4,3,2,2,2,4,1,1,1,2,1,1,1,1,2,4,1,2,3,2,1,2,1,2,1,1
2744,1,86,13,3,4,3,3,3,3,3,2,2,3,2,3,3,2,3,2,4,3,4,3,2,2,2,3,3,2
2745,0,85,14,2,2,4,2,,4,1,1,3,2,2,2,2,3,3,4,1,3,2,4,3,3,2,4,4,2
2746,0,85,14,2,1,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
2748,0,86,13,4,4,4,4,4,1,2,1,2,3,3,2,2,3,2,4,2,3,2,4,3,4,1,4,4,2
2750,1,86,13,4,3,2,3,1,2,1,1,1,2,1,2,3,2,2,3,2,3,3,2,2,2,1,1,1,1
2750,0,85,14,3,3,3,3,2,3,2,1,2,3,3,2,3,1,3,3,3,3,3,2,3,2,1,1,1,1
2751,1,86,13,3,4,2,3,3,3,2,1,1,3,2,1,1,1,2,2,1,1,2,2,2,4,2,2,2,1
2752,1,85,14,3,2,3,2,3,4,1,4,1,1,2,2,1,1,4,2,3,3,3,2,3,4,1,1,2,1
2753,1,86,13,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,2,1,1,1,1
2754,1,86,13,2,1,2,1,1,1,4,1,1,1,3,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1
2755,1,86,13,4,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2756,0,86,13,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2757,0,85,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2758,0,86,13,4,4,2,4,4,1,4,1,2,4,2,2,2,3,3,1,1,1,2,3,2,1,4,3,2,4
2759,1,86,13,3,4,2,2,2,2,1,1,1,3,1,1,1,1,2,3,1,1,1,2,1,1,1,3,1,1
2760,0,86,13,4,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
2761,1,86,13,4,4,1,4,4,4,1,3,4,4,4,3,1,4,1,4,4,1,4,4,1,4,4,4,4,1
2762,0,85,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2763,1,85,14,3,2,1,1,2,2,3,1,1,1,2,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1
2764,0,84,15,1,3,1,3,4,4,3,3,3,3,4,1,3,1,2,3,3,1,3,2,3,2,1,2,3,1
2765,0,84,15,3,1,2,1,1,1,1,1,1,1,1,2,4,1,4,1,1,4,1,1,2,1,1,1,2,1
2766,1,84,15,4,2,3,3,3,4,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,3,2
2767,0,83,16,3,4,2,4,2,3,2,1,1,4,3,1,3,2,2,4,3,2,3,4,2,2,1,2,3,3
2768,1,83,16,3,3,2,2,1,2,1,1,1,1,1,1,2,1,3,2,1,3,1,3,1,1,1,1,2,1
2769,1,83,16,1,2,3,3,2,4,1,1,3,1,1,1,4,1,3,3,3,2,3,1,3,3,3,1,4,3
2770,1,84,15,3,3,2,2,1,4,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,1,1,1,1,1
2771,1,84,15,3,2,2,2,2,2,2,2,3,1,2,1,2,1,3,3,1,2,2,1,2,2,1,2,1,1
2772,1,84,15,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,3,1,1
2773,0,83,16,2,3,3,3,2,2,1,2,2,2,3,1,2,2,3,4,3,1,2,3,2,2,1,3,1,1
2774,0,84,15,2,2,4,1,1,2,3,2,3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2775,0,84,15,2,3,2,2,4,3,2,1,1,2,3,1,3,1,1,2,2,1,1,3,2,1,1,1,1,1
2776,0,84,15,3,3,3,2,2,3,2,4,2,1,3,2,1,1,3,2,3,4,2,3,3,3,3,2,1,2
2777,1,83,16,3,2,2,3,2,3,1,1,1,2,1,1,1,1,3,2,3,2,2,1,1,1,1,1,1,1
2778,1,84,15,3,2,3,1,3,3,2,1,1,1,1,1,3,1,3,1,2,1,1,3,3,1,1,1,2,1
2779,1,84,15,4,2,2,3,2,3,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2
2780,1,83,16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2781,0,84,15,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,4,1,1,1,1,1,1
2782,0,84,15,3,2,2,2,4,3,4,1,1,1,1,1,1,1,2,2,2,3,2,3,1,2,1,1,1,1
2783,1,84,15,2,1,2,2,2,2,1,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1
2784,1,83,16,4,3,2,2,2,3,1,3,2,1,2,2,3,3,2,1,3,2,2,1,3,2,1,1,3,3
2786,0,83,16,3,3,3,2,2,3,3,1,3,3,3,3,2,2,3,3,3,3,3,1,3,3,2,2,3,3
2787,1,84,15,2,3,2,3,4,3,1,1,1,2,3,1,1,1,1,3,3,2,4,3,1,2,1,1,1,1
2788,1,83,16,3,3,3,3,2,3,2,1,1,1,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2
2789,0,84,15,3,1,4,1,4,4,1,1,1,1,1,1,1,1,4,1,1,3,1,1,3,3,1,1,3,1
2790,1,84,15,3,2,2,2,1,2,3,1,1,1,2,2,2,1,2,1,1,3,2,1,2,3,1,1,1,1
2791,1,83,16,4,1,2,1,2,3,1,1,1,1,1,1,1,1,4,1,1,2,1,2,4,2,1,1,1,1
2792,0,84,15,3,2,2,3,2,1,1,1,3,3,2,1,2,1,3,2,1,3,,2,2,2,1,1,1,1
2793,0,83,16,3,3,3,3,2,3,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2
2794,0,84,15,3,3,1,2,2,2,3,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,3
2795,0,84,15,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2796,0,84,15,4,4,3,3,4,4,1,1,1,2,3,1,4,4,3,3,1,3,3,3,3,4,1,1,1,1
2797,1,85,14,4,2,3,1,4,2,1,1,1,1,1,3,1,1,1,2,3,2,1,1,2,1,1,1,1,1
2798,1,85,14,3,4,3,1,2,3,3,2,2,2,3,2,2,2,3,2,3,3,3,2,3,3,1,2,,1
2799,0,84,15,4,2,3,2,2,3,1,1,2,1,1,1,1,2,2,1,2,2,1,1,3,2,1,2,3,2
2800,0,85,14,3,3,2,3,2,2,2,1,1,3,2,2,3,2,2,3,2,2,2,4,3,2,2,3,1,1
2801,1,84,15,2,2,3,1,1,2,1,1,2,1,1,1,3,1,2,1,1,1,1,1,2,3,1,1,1,1
2802,0,84,15,4,1,1,1,1,4,1,1,1,1,1,1,4,4,2,1,1,1,1,1,2,1,1,1,1,1
2803,1,85,14,3,4,3,4,4,4,3,1,3,4,4,1,1,3,1,4,2,1,4,4,1,2,1,4,1,1
2804,0,84,15,4,4,4,4,4,2,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4
2805,0,85,14,2,2,2,4,1,1,1,1,1,1,1,1,1,1,3,4,1,3,1,3,3,1,1,1,1,1
2806,1,85,14,2,1,3,1,1,3,2,1,2,1,1,2,2,1,3,1,1,3,1,1,2,2,1,1,1,1
2807,0,84,15,4,3,2,3,2,4,3,1,1,1,3,1,2,2,4,2,1,3,2,1,3,4,2,2,1,1
2808,1,85,14,2,1,3,2,1,3,2,1,2,2,2,2,2,2,2,3,3,3,2,3,2,2,2,2,3,2
2809,1,85,14,3,2,2,1,2,2,3,2,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,3,2,2
2810,0,84,15,2,3,2,3,1,2,2,1,3,2,2,2,3,2,2,2,3,2,2,3,2,2,1,2,3,2
2811,1,84,15,3,3,2,3,1,3,2,1,2,1,1,1,4,1,2,2,1,1,2,2,4,2,2,2,1,2
2812,1,85,14,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
2813,1,85,14,4,3,2,2,2,3,2,1,2,1,1,1,3,2,2,1,2,2,3,2,2,3,1,2,1,1
2814,0,84,15,3,2,2,2,4,4,1,1,2,2,2,1,3,1,3,4,1,3,1,4,2,2,1,1,1,4
2815,1,85,14,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
2817,0,85,14,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
2818,0,85,14,3,2,2,1,3,3,2,1,2,1,2,1,2,1,2,4,3,1,4,1,3,1,1,1,3,4
2819,1,84,15,3,3,2,3,1,3,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3
2820,1,84,15,1,1,2,1,1,2,1,1,2,1,1,1,1,2,3,1,1,2,3,1,1,2,1,1,1,1
2821,0,85,14,1,4,3,3,4,3,3,1,3,4,3,2,3,1,4,3,3,4,3,4,3,3,1,3,2,2
2822,1,84,15,4,3,4,3,2,4,2,1,4,2,3,1,4,1,2,4,3,2,4,4,4,3,1,3,3,1
2823,0,84,15,4,3,3,3,2,1,2,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,2,3
2824,1,84,15,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,3,3,1,4,1,1,1,1,1
2825,1,85,14,1,2,2,2,2,3,2,1,1,1,1,2,3,1,1,1,2,3,1,2,2,2,1,1,1,1
2826,1,85,14,3,2,2,3,2,3,1,1,3,1,1,1,2,1,2,3,2,2,3,1,1,2,2,1,2,1
2827,0,84,15,2,1,3,2,1,2,2,1,1,1,1,1,3,1,1,2,4,1,1,1,1,1,1,1,2,2
2828,0,85,14,3,1,2,2,3,3,2,1,1,3,1,3,1,3,1,3,1,3,1,3,2,1,3,3,1,2
2829,0,84,15,4,4,3,4,2,4,2,4,4,4,2,2,4,2,3,3,3,3,3,2,3,3,3,3,3,3
2830,0,85,14,3,2,2,2,2,2,1,1,3,1,1,1,1,1,3,2,1,3,3,1,1,3,1,1,1,1
2831,0,85,14,1,2,2,1,4,1,1,1,1,1,2,1,4,4,1,1,4,4,1,1,1,1,4,1,1,1
2832,0,85,14,1,2,1,2,3,1,3,1,1,2,1,1,2,2,2,1,2,2,2,3,1,1,1,2,2,1
2833,1,85,14,4,4,4,4,4,4,4,1,4,3,2,1,4,3,4,4,4,4,4,2,4,4,1,3,2,
2834,1,86,13,3,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1
2835,0,86,13,4,4,2,1,1,1,4,2,1,1,4,1,1,4,2,4,1,1,4,4,1,4,1,3,1,1
2836,1,85,14,3,4,4,2,4,4,2,3,4,4,3,1,1,2,2,3,1,1,3,1,4,4,4,3,1,1
2837,1,86,13,4,1,1,4,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,1,1,1,1
2838,0,85,14,2,2,2,2,2,3,2,1,3,2,2,2,1,1,1,2,2,2,3,2,1,2,1,2,2,2
2839,1,86,13,1,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2840,1,86,13,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1
2841,0,85,14,3,1,2,1,3,3,3,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1
2842,0,86,13,3,3,1,4,3,1,1,1,1,1,2,2,3,3,3,2,2,1,1,2,2,1,1,1,3,1
2843,1,86,13,3,4,4,4,3,4,3,2,4,2,4,2,2,4,4,4,4,4,4,4,2,4,2,4,4,2
2844,1,86,13,2,4,4,4,1,1,3,1,1,2,1,4,3,3,2,3,4,4,3,1,1,1,1,1,1,1
2845,0,86,13,4,3,2,2,3,1,2,1,1,2,2,2,2,3,2,3,2,2,3,3,2,2,1,2,1,1
2846,0,86,13,1,1,3,4,4,4,3,1,1,1,3,2,1,1,3,4,1,1,1,1,2,2,1,1,1,1
2847,1,85,14,3,2,2,2,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1
2848,1,85,14,4,2,3,3,2,4,3,2,1,1,1,2,3,2,2,2,1,1,2,3,2,3,3,3,3,2
2849,1,85,14,2,3,2,3,3,3,2,2,2,2,1,3,1,1,2,2,2,2,3,3,1,2,1,1,1,1
2850,0,86,13,2,3,2,4,3,2,2,1,1,1,2,2,1,1,3,3,2,1,3,2,2,2,2,1,1,2
2851,1,86,13,2,2,2,2,1,3,2,1,1,2,2,2,3,3,1,2,3,3,3,2,1,2,1,1,1,2
2852,1,85,14,3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2853,0,85,14,2,2,2,2,2,1,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3
2854,0,86,13,3,4,3,4,4,4,1,1,1,3,3,1,1,3,2,3,1,1,3,4,2,3,2,3,2,3
2855,0,85,14,3,3,3,,4,3,3,1,2,3,2,3,1,1,2,3,2,2,3,3,3,3,2,2,2,2
2856,0,86,13,3,2,2,2,1,4,2,3,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,3,2,3
2857,0,85,14,2,3,2,2,2,4,1,1,3,3,2,1,1,1,2,3,2,2,2,3,2,2,2,2,2,1
2858,1,85,14,4,2,1,2,2,2,3,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1
2859,1,86,13,4,2,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1
2860,0,86,13,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,
2861,1,86,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2862,0,86,13,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2
2863,1,84,15,2,2,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1
2864,1,83,16,4,3,4,3,1,4,1,1,2,2,4,1,1,3,3,2,2,1,2,2,1,3,1,2,1,2
2865,1,85,14,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2866,0,84,15,1,2,2,3,2,2,2,1,3,2,3,1,1,2,2,3,2,2,2,3,2,2,1,1,1,2
2867,1,84,15,1,1,1,1,3,1,4,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,1,1
2868,1,85,14,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,1,1
2869,1,85,14,3,2,2,2,2,2,3,1,2,2,2,2,1,1,1,2,1,1,1,1,4,1,1,1,1,1
2870,1,85,14,4,2,1,2,2,3,2,1,2,3,2,2,3,4,4,3,2,2,3,3,2,1,2,2,1,3
2871,0,85,14,4,3,3,3,3,2,2,1,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,1,2
2872,1,85,14,3,3,4,1,1,3,1,1,1,1,4,1,1,1,4,2,4,4,4,1,4,4,1,1,1,1
2873,0,85,14,3,4,3,3,3,3,2,3,3,3,3,2,1,2,3,3,2,2,2,3,2,3,1,3,2,2
2874,1,85,14,1,2,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2875,1,85,14,4,4,3,4,4,4,2,4,1,4,4,1,1,4,1,4,3,2,1,4,2,1,4,4,2,1
2876,1,85,14,2,4,2,4,4,4,1,1,3,4,4,2,3,4,2,4,3,2,4,4,2,4,2,3,2,4
2878,0,84,15,4,4,4,4,4,4,3,4,2,4,3,1,2,3,4,3,2,2,2,2,2,3,3,3,4,3
2879,1,84,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2880,0,85,14,3,2,3,3,2,3,2,1,2,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,1,1
2881,1,84,15,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,3,1,2,3,1,1,1,1,1
2882,0,84,15,2,2,2,2,2,3,3,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1
2883,0,85,14,4,4,4,2,4,1,1,1,4,3,2,1,4,1,3,4,4,1,1,4,4,4,1,3,1,1
2884,1,85,14,2,3,2,4,4,4,4,2,3,3,3,1,3,3,3,2,1,2,4,,3,4,2,2,1,1
2885,0,85,14,4,4,2,4,,1,4,4,1,4,4,1,,1,1,4,4,4,4,4,4,4,1,1,1,4
2886,0,86,13,1,4,4,1,4,1,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2887,0,86,13,3,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2888,1,85,14,3,3,3,3,3,1,4,1,3,3,3,2,2,3,3,3,2,3,3,2,2,3,2,2,2,1
2889,1,86,13,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,2,4,1,4,4,1
2891,0,85,14,4,2,3,3,1,1,4,4,4,4,1,2,2,2,2,2,4,4,2,2,4,1,1,1,1,1
2892,0,86,13,2,3,2,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,4,2,1,2,1,2
2893,0,86,13,3,1,3,1,1,4,1,1,2,2,2,2,2,1,3,3,2,3,3,2,1,2,1,1,3,1
2894,0,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2895,1,85,14,3,4,3,3,3,3,2,1,2,2,1,2,1,3,2,3,4,4,3,4,2,3,1,2,1,1
2896,0,86,13,1,4,1,4,4,1,4,1,1,4,4,1,1,1,3,4,1,1,2,,4,4,3,4,3,2
2898,1,86,13,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1
2899,0,85,14,3,4,2,3,4,2,2,1,2,3,2,2,2,2,4,3,3,3,2,4,3,2,2,,2,1
2900,1,85,14,3,4,3,3,3,3,4,2,2,2,3,2,2,2,2,3,2,3,4,3,2,3,3,4,3,3
2901,1,85,14,3,3,2,3,3,3,3,1,1,1,1,1,3,1,3,3,1,1,1,4,1,4,3,3,1,1
2902,0,86,13,4,4,1,4,4,4,4,1,1,4,4,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1
2903,1,86,13,1,3,2,2,3,2,1,1,1,1,2,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1
2904,0,86,13,3,2,1,2,1,2,2,1,2,1,1,3,1,1,1,1,2,3,2,3,1,3,1,2,2,1
2906,1,85,14,2,2,3,1,1,1,2,1,3,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1
2907,1,86,13,4,4,2,4,4,4,2,4,3,2,2,2,3,3,1,3,1,1,3,4,2,3,2,1,4,2
2908,1,86,13,4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,3,3
2909,0,84,15,3,2,3,1,2,4,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1
2910,0,84,15,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2911,0,84,15,3,3,1,4,3,3,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2
2912,1,84,15,2,2,2,2,3,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1
2913,0,84,15,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2914,0,84,15,4,4,4,1,3,4,1,4,4,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1
2915,0,84,15,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2916,0,84,15,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2917,0,84,15,3,3,2,3,3,2,2,2,2,2,3,1,3,1,2,3,1,2,3,3,2,3,1,2,1,1
2918,0,84,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
